# airline,from,to,codeshare,stops,latfrom,longfrom,latto,longto,distance,Band_BA,Band_BA_gen,BA_pct
AA,CLT,ROC,*,0,35.2140007019043,-80.94309997558594,43.118900299072266,-77.67240142822266,574.102580337352,1,1,88
AA,CLT,RSW,NA,0,35.2140007019043,-80.94309997558594,26.53619956970215,-81.75520324707031,602.1751409526372,1,1,93
AA,CLT,SAN,NA,0,35.2140007019043,-80.94309997558594,32.7336006165,-117.190002441,2074.827660619408,4,4,7.000000000000001
AA,CLT,SAT,NA,0,35.2140007019043,-80.94309997558594,29.533700942993164,-98.46980285644531,1094.761751934113,2,2,89
AA,CLT,SAT,*,0,35.2140007019043,-80.94309997558594,29.533700942993164,-98.46980285644531,1094.761751934113,2,2,89
AA,CLT,SAV,*,0,35.2140007019043,-80.94309997558594,32.12760162,-81.20210266,214.0081378637,1,1,33
AA,CLT,SBN,*,0,35.2140007019043,-80.94309997558594,41.70869827270508,-86.31729888916016,535.0329421501679,1,1,82
AA,CLT,SBY,*,0,35.2140007019043,-80.94309997558594,38.34049987792969,-75.51029968261719,370.51826786080204,1,1,56.99999999999999
AA,CLT,SDF,*,0,35.2140007019043,-80.94309997558594,38.1744,-85.736,335.47219396058233,1,1,52
AA,CLT,SEA,NA,0,35.2140007019043,-80.94309997558594,47.449001,-122.308998,2277.0178280975833,4,4,28.000000000000004
AA,CLT,SFO,NA,0,35.2140007019043,-80.94309997558594,37.61899948120117,-122.375,2293.5432682992027,4,4,28.999999999999996
AA,CLT,SGF,*,0,35.2140007019043,-80.94309997558594,37.24570084,-93.38860321,707.934043414228,2,2,11
AA,CLT,SHV,*,0,35.2140007019043,-80.94309997558594,32.446602,-93.8256,763.9384949814704,2,2,23
AA,CLT,SJO,NA,0,35.2140007019043,-80.94309997558594,9.993860244750977,-84.20880126953125,1756.6084880962421,3,3,71
